Q12 Output.

event_date|role_name |total_staff|
2010-06-17|security  |         12|
2010-06-17|support   |          6|
2010-06-17|technician|          3|
2011-06-15|security  |         12|
2011-06-15|support   |          6|
2011-06-15|technician|          3|
2011-06-16|security  |         12|
2011-06-16|support   |          6|
2011-06-16|technician|          3|
2011-06-17|security  |         12|
2011-06-17|support   |          6|
2011-06-17|technician|          3|
2012-06-15|security  |         14|
2012-06-15|support   |          6|
2012-06-15|technician|          3|
2012-06-16|security  |         14|
2012-06-16|support   |          6|
2012-06-16|technician|          3|
2012-06-17|security  |         14|
2012-06-17|support   |          6|
2012-06-17|technician|          3|
2013-06-15|security  |         10|
2013-06-15|support   |          6|
2013-06-15|technician|          3|
2013-06-16|security  |         10|
2013-06-16|support   |          6|
2013-06-16|technician|          3|
2013-06-17|security  |         10|
2013-06-17|support   |          6|
2013-06-17|technician|          3|
2014-06-15|security  |         12|
2014-06-15|support   |          6|
2014-06-15|technician|          3|
2014-06-16|security  |         12|
2014-06-16|support   |          6|
2014-06-16|technician|          3|
2014-06-17|security  |         12|
2014-06-17|support   |          6|
2014-06-17|technician|          3|
2015-06-15|security  |         11|
2015-06-15|support   |          5|
2015-06-15|technician|          3|
2015-06-16|security  |         11|
2015-06-16|support   |          5|
2015-06-16|technician|          3|
2015-06-17|security  |         11|
2015-06-17|support   |          5|
2015-06-17|technician|          3|
2016-06-15|security  |          8|
2016-06-15|support   |          5|
2016-06-15|technician|          3|
2016-06-16|security  |          8|
2016-06-16|support   |          5|
2016-06-16|technician|          3|
2016-06-17|security  |          8|
2016-06-17|support   |          5|
2016-06-17|technician|          3|
2017-06-15|security  |         12|
2017-06-15|support   |          6|
2017-06-15|technician|          3|
2017-06-16|security  |         12|
2017-06-16|support   |          6|
2017-06-16|technician|          3|
2017-06-17|security  |         12|
2017-06-17|support   |          6|
2017-06-17|technician|          3|
2018-06-15|security  |         11|
2018-06-15|support   |          6|
2018-06-15|technician|          3|
2018-06-16|security  |         11|
2018-06-16|support   |          6|
2018-06-16|technician|          3|
2018-06-17|security  |         11|
2018-06-17|support   |          6|
2018-06-17|technician|          3|
2019-06-15|security  |         13|
2019-06-15|support   |          6|
2019-06-15|technician|          3|
2019-06-16|security  |         13|
2019-06-16|support   |          6|
2019-06-16|technician|          3|
2019-06-17|security  |         13|
2019-06-17|support   |          6|
2019-06-17|technician|          3|
2020-06-15|security  |         12|
2020-06-15|support   |          6|
2020-06-15|technician|          3|
2020-06-16|security  |         12|
2020-06-16|support   |          6|
2020-06-16|technician|          3|
2020-06-17|security  |         12|
2020-06-17|support   |          6|
2020-06-17|technician|          3|
2021-06-15|security  |         12|
2021-06-15|support   |          6|
2021-06-15|technician|          3|
2021-06-16|security  |         12|
2021-06-16|support   |          6|
2021-06-16|technician|          3|
2021-06-17|security  |         12|
2021-06-17|support   |          6|
2021-06-17|technician|          3|
2022-06-15|security  |         14|
2022-06-15|support   |          6|
2022-06-15|technician|          3|
2022-06-16|security  |         14|
2022-06-16|support   |          6|
2022-06-16|technician|          3|
2022-06-17|security  |         14|
2022-06-17|support   |          6|
2022-06-17|technician|          3|
2023-06-15|security  |         10|
2023-06-15|support   |          6|
2023-06-15|technician|          3|
2023-06-16|security  |         10|
2023-06-16|support   |          6|
2023-06-16|technician|          3|
2023-06-17|security  |         10|
2023-06-17|support   |          6|
2023-06-17|technician|          3|
2024-06-15|security  |         12|
2024-06-15|support   |          6|
2024-06-15|technician|          3|
2024-06-16|security  |         12|
2024-06-16|support   |          6|
2024-06-16|technician|          3|
2024-06-17|security  |         12|
2024-06-17|support   |          6|
2024-06-17|technician|          3|
2025-06-15|security  |         11|
2025-06-15|support   |          5|
2025-06-15|technician|          3|
2025-06-16|security  |         11|
2025-06-16|support   |          5|
2025-06-16|technician|          3|
2025-06-17|security  |         11|
2025-06-17|support   |          5|
2025-06-17|technician|          3|
2026-06-15|security  |          8|
2026-06-15|support   |          5|
2026-06-15|technician|          3|
2026-06-16|security  |          8|
2026-06-16|support   |          5|
2026-06-16|technician|          3|
2026-06-17|security  |          8|
2026-06-17|support   |          5|
2026-06-17|technician|          3|
2027-06-15|security  |         12|
2027-06-15|support   |          6|
2027-06-15|technician|          3|
2027-06-16|security  |         12|
2027-06-16|support   |          6|
2027-06-16|technician|          3|
2027-06-17|security  |         12|
2027-06-17|support   |          6|
2027-06-17|technician|          3|
2028-06-15|security  |         11|
2028-06-15|support   |          6|
2028-06-15|technician|          3|
2028-06-16|security  |         11|
2028-06-16|support   |          6|
2028-06-16|technician|          3|
2028-06-17|security  |         11|
2028-06-17|support   |          6|
2028-06-17|technician|          3|
2029-06-15|security  |         13|
2029-06-15|support   |          6|
2029-06-15|technician|          3|
2029-06-16|security  |         13|
2029-06-16|support   |          6|
2029-06-16|technician|          3|
2029-06-17|security  |         13|
2029-06-17|support   |          6|
2029-06-17|technician|          3|
